ncessch,school_name,latitude,longitude,enrollment,teachers_fte,school_level,school_type,student_teacher_ratio,norm_enrollment,norm_student_teacher_ratio,total_athletes,norm_total_athletes,city_location,lea_name,is_magnet,ap_count,stem_score,arts_participants,world_lang,norm_ap_count,norm_arts,norm_world_lang
060000103278,Vasquez High,34.492021,-118.215978,353.0,16.0,3,1,22.0625,0.0235215502839959,0.0546741908006814,143.0,0.0629550321199143,Acton,Acton-Agua Dulce Unified,0,0,0.1037,128,121,0.0,0.19999999999999998,0.029773622047244094
060000107534,Meadowlark Elementary,34.474318,-118.185622,305.0,13.0,1,1,23.46153846153846,0.0203140661543601,0.0582492464945616,-4.0,0.0,Acton,Acton-Agua Dulce Unified,0,0,0.084,35,93,0.0,0.0423728813559322,0.022883858267716536
060000109444,High Desert,34.490948,-118.195128,277.0,10.0,2,1,27.7,0.0184430337454059,0.0690800681431005,-4.0,0.0,Acton,Acton-Agua Dulce Unified,0,0,0.0891,224,71,0.0,0.36271186440677966,0.017470472440944882
060000210346,California School for the Blind,37.561797,-121.96549,62.0,13.0,4,2,4.769230769230769,0.0040761777480788,0.0104835539247805,-4.0,0.0,Fremont,California School for the Blind (State Special Schl),0,0,0.0549,155,24,0.0,0.24576271186440674,0.005905511811023622
060000310347,California School for the Deaf-Fremont,37.559764,-121.963353,318.0,68.0,4,2,4.676470588235294,0.0211827597728032,0.010246517687143,73.0,0.0329764453961456,Fremont,California School for the Deaf-Fremont (State Special Schl),0,0,0.0404,228,60,0.0,0.3694915254237288,0.014763779527559055
060000608773,Manor Elementary,37.997108,-122.594314,225.0,9.0,1,1,25.0,0.0149682592716338,0.0621805792163543,-4.0,0.0,Fairfax,Ross Valley Elementary,0,0,0.1825,279,69,0.0,0.4559322033898305,0.016978346456692914
060000608774,White Hill Middle,38.00343,-122.606727,664.0,35.0,2,1,18.97142857142857,0.0443033745405947,0.0467753711365295,-4.0,0.0,Fairfax,Ross Valley Elementary,1,0,0.383,218,163,0.0,0.3525423728813559,0.04010826771653543
060000608775,Brookside Elementary,37.991008,-122.575464,288.0,13.0,1,1,22.15384615384616,0.0191780821917808,0.0549076136810378,-4.0,0.0,San Anselmo,Ross Valley Elementary,1,0,0.3703,182,34,0.0,0.2915254237288135,0.008366141732283464
060000608776,Wade Thomas Elementary,37.971374,-122.567277,321.0,13.0,1,1,24.692307692307693,0.0213832275309054,0.0613943126719958,-4.0,0.0,San Anselmo,Ross Valley Elementary,1,0,0.4613,214,81,0.0,0.34576271186440677,0.019931102362204724
060000612911,Hidden Valley Elementary,38.006047,-122.573498,241.0,11.0,1,1,21.90909090909091,0.016037420648179,0.054282174384389,-4.0,0.0,San Anselmo,Ross Valley Elementary,0,0,0.0893,20,55,0.0,0.01694915254237288,0.013533464566929134
