ncessch,school_name,latitude,longitude,enrollment,teachers_fte,school_level,school_type,student_teacher_ratio,norm_enrollment,norm_student_teacher_ratio,total_athletes,norm_total_athletes
60000103278,Vasquez High,34.492021,-118.215978,353.0,16.0,3,1,22.0625,0.0235215502839959,0.0546741908006814,143.0,0.06295503211991435
60000107534,Meadowlark Elementary,34.474318,-118.185622,305.0,13.0,1,1,23.46153846153846,0.0203140661543601,0.0582492464945616,-4.0,0.0
60000109444,High Desert,34.490948,-118.195128,277.0,10.0,2,1,27.7,0.0184430337454059,0.0690800681431005,-4.0,0.0
60000210346,California School for the Blind,37.561797,-121.96549,62.0,13.0,4,2,4.769230769230769,0.0040761777480788,0.0104835539247805,-4.0,0.0
60000310347,California School for the Deaf-Fremont,37.559764,-121.963353,318.0,68.0,4,2,4.676470588235294,0.0211827597728032,0.010246517687143,73.0,0.03297644539614561
60000608773,Manor Elementary,37.997108,-122.594314,225.0,9.0,1,1,25.0,0.0149682592716338,0.0621805792163543,-4.0,0.0
60000608774,White Hill Middle,38.00343,-122.606727,664.0,35.0,2,1,18.97142857142857,0.0443033745405947,0.0467753711365295,-4.0,0.0
60000608775,Brookside Elementary,37.991008,-122.575464,288.0,13.0,1,1,22.153846153846157,0.0191780821917808,0.0549076136810378,-4.0,0.0
60000608776,Wade Thomas Elementary,37.971374,-122.567277,321.0,13.0,1,1,24.692307692307693,0.0213832275309054,0.0613943126719958,-4.0,0.0
60000612911,Hidden Valley Elementary,38.006047,-122.573498,241.0,11.0,1,1,21.90909090909091,0.016037420648179,0.054282174384389,-4.0,0.0
60000710348,California School for the Deaf-Riverside,33.944558,-117.381366,298.0,64.0,4,2,4.65625,0.0198463080521216,0.0101948466780238,160.0,0.07023554603854389
60000908779,Cuyama Valley High,34.943828,-119.674697,52.0,4.0,3,1,13.0,0.003407951887738,0.0315161839863713,33.0,0.015845824411134902
60000908780,Cuyama Elementary,34.93224,-119.609234,120.0,6.0,1,1,20.0,0.0079518877380554,0.0494037478705281,-4.0,0.0
60001109065,Herlong High,40.139068,-120.144221,42.0,4.0,3,1,10.5,0.0027397260273972,0.0251277683134582,18.0,0.009421841541755887
60001109066,Fort Sage Middle,40.139068,-120.144221,14.0,1.0,2,1,14.0,0.000868693618443,0.0340715502555366,-4.0,0.0
60001109068,Sierra Primary,40.141423,-120.135161,62.0,5.0,1,1,12.4,0.0040761777480788,0.0299829642248722,-4.0,0.0
60001112763,Mt. Lassen Charter,40.4211,-120.650932,123.0,6.0,4,1,20.5,0.0081523554961577,0.0506814310051107,-4.0,0.0
60001206852,Washington Elementary,39.358171,-120.800003,6.0,1.0,1,1,6.0,0.0003341129301703,0.0136286201022146,-4.0,0.0
60001209206,Grizzly Hill,39.373765,-120.995434,87.0,5.0,1,1,17.4,0.0057467423989308,0.0427597955706984,-4.0,0.0
60001300805,Antelope Creek Elementary,38.7778,-121.2581,474.0,22.0,1,1,21.545454545454547,0.0316070831941196,0.0533529502865107,-4.0,0.0
60001302405,Rocklin High,38.8143,-121.2511,2210.0,95.0,3,1,23.26315789473684,0.1476110925492816,0.0577423114856989,289.0,0.12548179871520343
60001303571,Breen Elementary,38.8181,-121.2597,424.0,19.0,1,1,22.31578947368421,0.0282659538924156,0.0553214381780686,-4.0,0.0
