ncessch,school_name,latitude,longitude,enrollment,teachers_fte,school_level,school_type,student_teacher_ratio,norm_enrollment,norm_student_teacher_ratio
60000103278,Vasquez High,34.492021,-118.215978,353.0,16.0,3,1,22.0625,0.02352155028399599,0.054674190800681435
60000107534,Meadowlark Elementary,34.474318,-118.185622,305.0,13.0,1,1,23.46153846153846,0.020314066154360173,0.05824924649456166
60000109444,High Desert,34.490948,-118.195128,277.0,10.0,2,1,27.7,0.018443033745405946,0.06908006814310051
60000210346,California School for the Blind,37.561797,-121.96549,62.0,13.0,4,2,4.769230769230769,0.004076177748078851,0.010483553924780502
60000310347,California School for the Deaf-Fremont,37.559764,-121.963353,318.0,68.0,4,2,4.676470588235294,0.021182759772803206,0.010246517687143002
60000608773,Manor Elementary,37.997108,-122.594314,225.0,9.0,1,1,25.0,0.014968259271633812,0.06218057921635435
60000608774,White Hill Middle,38.00343,-122.606727,664.0,35.0,2,1,18.97142857142857,0.04430337454059472,0.046775371136529575
60000608775,Brookside Elementary,37.991008,-122.575464,288.0,13.0,1,1,22.153846153846153,0.019178082191780823,0.05490761368103787
60000608776,Wade Thomas Elementary,37.971374,-122.567277,321.0,13.0,1,1,24.692307692307693,0.021383227530905446,0.06139431267199581
60000612911,Hidden Valley Elementary,38.006047,-122.573498,241.0,11.0,1,1,21.90909090909091,0.016037420648179083,0.054282174384389044
60000710348,California School for the Deaf-Riverside,33.944558,-117.381366,298.0,64.0,4,2,4.65625,0.019846308052121616,0.010194846678023851
60000908779,Cuyama Valley High,34.943828,-119.674697,52.0,4.0,3,1,13.0,0.0034079518877380556,0.031516183986371384
60000908780,Cuyama Elementary,34.93224,-119.609234,120.0,6.0,1,1,20.0,0.007951887738055462,0.04940374787052811
60001109065,Herlong High,40.139068,-120.144221,42.0,4.0,3,1,10.5,0.0027397260273972603,0.025127768313458265
60001109066,Fort Sage Middle,40.139068,-120.144221,14.0,1.0,2,1,14.0,0.0008686936184430338,0.034071550255536626
60001109068,Sierra Primary,40.141423,-120.135161,62.0,5.0,1,1,12.4,0.004076177748078851,0.029982964224872233
60001112763,Mt. Lassen Charter,40.4211,-120.650932,123.0,6.0,4,1,20.5,0.0081523554961577,0.05068143100511074
60001206852,Washington Elementary,39.358171,-120.800003,6.0,1.0,1,1,6.0,0.0003341129301703976,0.013628620102214653
60001209206,Grizzly Hill,39.373765,-120.995434,87.0,5.0,1,1,17.4,0.005746742398930839,0.042759795570698464
60001300805,Antelope Creek Elementary,38.7778,-121.2581,474.0,22.0,1,1,21.545454545454547,0.03160708319411962,0.05335295028651077
60001302405,Rocklin High,38.8143,-121.2511,2210.0,95.0,3,1,23.263157894736842,0.14761109254928165,0.05774231148569892
60001303571,Breen Elementary,38.8181,-121.2597,424.0,19.0,1,1,22.31578947368421,0.028265953892415634,0.05532143817806868
60001306176,Victory High,38.815698,-121.254325,82.0,6.0,3,4,13.666666666666666,0.0054126294687604415,0.03321976149914821
60001308256,Twin Oaks Elementary,38.81,-121.2646,505.0,23.0,1,1,21.956521739130434,0.03367858336117608,0.05440337752759055
60001308257,Granite Oaks Middle,38.8209,-121.2525,967.0,48.0,2,1,20.145833333333332,0.06455061810892082,0.04977640545144804
60001308553,Spring View Middle,38.7953,-121.2409,792.0,41.0,2,1,19.317073170731707,0.0528566655529569,0.04765861968670794
60001308763,Valley View Elementary,38.8146,-121.2408,627.0,26.0,1,1,24.115384615384617,0.04183093885733378,0.059920062901323554
60001308764,Sierra Elementary,38.7723,-121.2172,478.0,19.0,1,1,25.157894736842106,0.03187437353825593,0.06258405810095939
60001309069,Parker Whitney Elementary,38.7934,-121.2542,386.0,19.0,1,1,20.31578947368421,0.025726695623120615,0.05021070563973819
60001309070,Rocklin Elementary,38.7915,-121.2284,579.0,25.0,1,1,23.16,0.038623454727697966,0.057478705281090295
60001310270,Cobblestone Elementary,38.8021,-121.2648,412.0,19.0,1,1,21.68421052631579,0.02746408286000668,0.053707522639648536
60001310575,Rock Creek Elementary,38.7983,-121.2798,456.0,20.0,1,1,22.8,0.03040427664550618,0.05655877342419081
60001311009,Ruhkala Elementary,38.80289,-121.287302,313.0,13.0,1,1,24.076923076923077,0.02084864684263281,0.059821779583278736
60001311010,Whitney High,38.8364,-121.2894,2040.0,89.0,3,1,22.921348314606742,0.13625125292348814,0.05686886281415693
60001312558,Sunset Ranch Elementary,38.828479,-121.274654,636.0,28.0,1,1,22.714285714285715,0.042432342131640495,0.05633974202969093
60001314465,Rocklin Alternative Education Center,38.815698,-121.254325,97.0,4.0,4,4,24.25,0.006414968259271634,0.060264054514480414
60001403904,Topaz Preparatory Academy,34.4332,-117.3541,696.0,28.0,1,1,24.857142857142858,0.04644169729368527,0.06181552689218789
60001405093,Sultana High,34.4104,-117.2867,2078.0,86.0,3,1,24.162790697674417,0.13879051119278316,0.060041202804960184
60001407287,Shadow Ridge,34.424788,-117.31918,673.0,21.0,4,4,32.04761904761905,0.04490477781490144,0.08018982720856657
60001407295,Mesquite Trails Elementary,34.398323,-117.360843,840.0,33.0,1,1,25.454545454545453,0.05606414968259272,0.06334210933870218
60001408296,Hesperia Community Day,34.443814,-117.301229,11.0,1.0,3,4,11.0,0.0006682258603407951,0.026405451448040886
60001409072,Hesperia High,34.4301,-117.3477,2223.0,96.0,3,1,23.15625,0.1484797861677247,0.057469122657580925
60001409073,Mojave High,34.444602,-117.301624,272.0,18.0,3,4,15.11111111111111,0.01810892081523555,0.03691084611016468
60001409074,Joshua Circle Elementary,34.43488,-117.316527,648.0,27.0,1,1,24.0,0.04323421316404945,0.0596252129471891
60001409075,Juniper Elementary,34.4221,-117.2819,676.0,29.0,1,1,23.310344827586206,0.045105245573003674,0.05786289138224755
60001409076,Eucalyptus Elementary,34.454719,-117.318821,698.0,28.0,1,1,24.928571428571427,0.04657534246575343,0.06199805305427111
60001409077,Hesperia Junior High,34.436245,-117.325268,1116.0,49.0,2,1,22.775510204081634,0.07450718342799867,0.056496193025762274
60001409078,Mesa Grande Elementary,34.418268,-117.308349,595.0,28.0,1,1,21.25,0.03969261610424324,0.052597955706984674
60001409079,Kingston Elementary,34.3868,-117.2741,741.0,30.0,1,1,24.7,0.049448713665218844,0.06141396933560478
60001409080,Maple Elementary,34.4431,-117.3479,868.0,35.0,1,1,24.8,0.057935182091546945,0.0616695059625213
60001409081,Cottonwood Elementary,34.411484,-117.339014,851.0,37.0,1,1,23.0,0.056799198128967596,0.05706984667802385
60001409082,Lime Street Elementary,34.4054,-117.2946,874.0,35.0,1,1,24.97142857142857,0.058336117607751425,0.062107568751521056
60001409476,Hollyvale Elementary,34.4621,-117.3855,371.0,13.0,1,1,28.53846153846154,0.024724356832609422,0.07122264447647754
