year,ncessch,school_id,school_name,leaid,lea_name,state_leaid,seasch,street_mailing,city_mailing,state_mailing,zip_mailing,street_location,city_location,state_location,zip_location,phone,fips,latitude,longitude,csa,cbsa,urban_centric_locale,county_code,school_level,school_type,school_status,lowest_grade_offered,highest_grade_offered,bureau_indian_education,title_i_status,title_i_eligible,title_i_schoolwide,charter,magnet,shared_time,virtual,teachers_fte,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,elem_cedp,high_cedp,middle_cedp,ungrade_cedp,enrollment,state_leg_district_lower,state_leg_district_upper,ncessch_num,congress_district_id,direct_certification,lunch_program
2021,060000103278,0603278,Vasquez High,0600001,Acton-Agua Dulce Unified,CA-1975309,1975309-1995786,33630 Red Rover Mine Rd.,Acton,CA,93510,33630 Red Rover Mine Rd.,Acton,CA,93510,(661)269-0451,6,34.492021,-118.215978,348,31080,41,6037,3,1,1,9.0,12.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,16.0,170.0,25.0,195.0,0,1,0,0,353.0,06036,06021,60000103278,625,101.0,-1.0
2021,060000107534,0607534,Meadowlark Elementary,0600001,Acton-Agua Dulce Unified,CA-1975309,1975309-6115679,3015 W. Sacramento St.,Acton,CA,93510,3015 W. Sacramento St.,Acton,CA,93510,(661)269-8140,6,34.474318,-118.185622,348,31080,42,6037,1,1,1,0.0,4.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,13.0,169.0,14.0,183.0,1,0,0,0,305.0,06036,06021,60000107534,625,110.0,-1.0
2021,060000109444,0609444,High Desert,0600001,Acton-Agua Dulce Unified,CA-1975309,1975309-6107494,3620 Antelope Woods Rd.,Acton,CA,93510,3620 Antelope Woods Rd.,Acton,CA,93510,(661)269-0310,6,34.490948,-118.195128,348,31080,41,6037,2,1,1,5.0,8.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,10.0,157.0,27.0,184.0,0,0,1,0,277.0,06036,06021,60000109444,625,89.0,-1.0
2021,060000210346,0610346,California School for the Blind,0600002,California School for the Blind (State Special Schl),CA-0131609,0131609-0131755,500 Walnut Ave.,Fremont,CA,94536,500 Walnut Ave.,Fremont,CA,94536,(510)794-3800,6,37.561797,-121.96549,488,41860,21,6001,4,2,1,0.0,12.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,13.0,59.0,0.0,59.0,1,1,1,0,62.0,06020,06010,60000210346,617,15.0,-1.0
2021,060000310347,0610347,California School for the Deaf-Fremont,0600003,California School for the Deaf-Fremont (State Special Schl),CA-0131617,0131617-0131763,39350 Gallaudet Dr.,Fremont,CA,94538,39350 Gallaudet Dr.,Fremont,CA,94538,(510)794-3666,6,37.559764,-121.963353,488,41860,21,6001,4,2,1,0.0,12.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,68.0,315.0,0.0,315.0,1,1,1,0,318.0,06020,06010,60000310347,617,84.0,-1.0
2021,060000608773,0608773,Manor Elementary,0600006,Ross Valley Elementary,CA-2175002,2175002-6024277,150 Oak Manor Dr.,Fairfax,CA,94930,150 Oak Manor Dr.,Fairfax,CA,94930,(415)453-1544,6,37.997108,-122.594314,488,41860,21,6041,1,1,1,0.0,5.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,9.0,39.0,3.0,42.0,1,0,0,0,225.0,06010,06002,60000608773,602,34.0,-1.0
2021,060000608774,0608774,White Hill Middle,0600006,Ross Valley Elementary,CA-2175002,2175002-6024285,101 Glen Dr.,Fairfax,CA,94930,101 Glen Dr.,Fairfax,CA,94930,(415)454-8390,6,38.00343,-122.606727,488,41860,21,6041,2,1,1,6.0,8.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,35.0,72.0,7.0,79.0,0,0,1,0,664.0,06010,06002,60000608774,602,61.0,-1.0
2021,060000608775,0608775,Brookside Elementary,0600006,Ross Valley Elementary,CA-2175002,2175002-6024681,116 Butterfield Rd.,San Anselmo,CA,94960,116 Butterfield Rd.,San Anselmo,CA,94960,(415)453-2948,6,37.991008,-122.575464,488,41860,21,6041,1,1,1,0.0,5.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,13.0,18.0,1.0,19.0,1,0,0,0,288.0,06010,06002,60000608775,602,16.0,-1.0
2021,060000608776,0608776,Wade Thomas Elementary,0600006,Ross Valley Elementary,CA-2175002,2175002-6024731,150 Ross Ave.,San Anselmo,CA,94960,150 Ross Ave.,San Anselmo,CA,94960,(415)454-4603,6,37.971374,-122.567277,488,41860,21,6041,1,1,1,0.0,5.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,13.0,30.0,0.0,30.0,1,0,0,0,321.0,06010,06002,60000608776,602,28.0,-1.0
2021,060000612911,0612911,Hidden Valley Elementary,0600006,Ross Valley Elementary,CA-2175002,2175002-0124578,46 Green Valley Ct.,San Anselmo,CA,94960,46 Green Valley Ct.,San Anselmo,CA,94960,(415)454-7683,6,38.006047,-122.573498,488,41860,21,6041,1,1,1,0.0,5.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,11.0,14.0,2.0,16.0,1,0,0,0,241.0,06010,06002,60000612911,602,14.0,-1.0
2021,060000710348,0610348,California School for the Deaf-Riverside,0600007,CA Sch for the Deaf-Riverside (State Special Schl),CA-3331625,3331625-3330834,3044 Horace St.,Riverside,CA,92506,3044 Horace St.,Riverside,CA,92506,(951)248-7700,6,33.944558,-117.381366,348,40140,11,6065,4,2,1,0.0,12.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,64.0,67.0,0.0,67.0,1,1,1,0,298.0,06061,06031,60000710348,641,63.0,-1.0
2021,060000901478,0601478,Sierra Madre High (Continuation),0600009,Cuyama Joint Unified,CA-4275010,4275010-4230173,2300 Highway 166,New Cuyama,CA,93254,4500 Highway 166,New Cuyama,CA,93254,(661)766-2293,6,34.943828,-119.674697,-2,42200,43,6083,3,4,1,9.0,12.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,,,,,0,1,0,0,0.0,06035,06019,60000901478,624,,-1.0
2021,060000908779,0608779,Cuyama Valley High,0600009,Cuyama Joint Unified,CA-4275010,4275010-4231205,2300 Highway 166,New Cuyama,CA,93254,4500 Highway 166,New Cuyama,CA,93254,(661)766-2293,6,34.943828,-119.674697,-2,42200,43,6083,3,1,1,9.0,12.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,4.0,28.0,2.0,30.0,0,1,0,0,52.0,06035,06019,60000908779,624,21.0,-1.0
2021,060000908780,0608780,Cuyama Elementary,0600009,Cuyama Joint Unified,CA-4275010,4275010-6045389,2300 Highway 166,New Cuyama,CA,93254,2300 Highway 166,New Cuyama,CA,93254,(661)766-2642,6,34.93224,-119.609234,-2,42200,43,6083,1,1,1,0.0,8.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,6.0,90.0,5.0,95.0,1,0,1,0,120.0,06035,06019,60000908780,624,60.0,-1.0
2021,060001109065,0609065,Herlong High,0600011,Fort Sage Unified,CA-1875036,1875036-1833409,PO Box 97,Herlong,CA,96113,200 DS Hall,Herlong,CA,96113,(530)827-2101,6,40.139068,-120.144221,-2,45000,43,6035,3,1,1,9.0,12.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,4.0,21.0,5.0,26.0,0,1,0,0,42.0,06001,06001,60001109065,601,17.0,-1.0
2021,060001109066,0609066,Fort Sage Middle,0600011,Fort Sage Unified,CA-1875036,1875036-6010714,PO Box 35,Herlong,CA,96113,200 DS Hall,Herlong,CA,96113,(530)827-2101,6,40.139068,-120.144221,-2,45000,43,6035,2,1,1,7.0,8.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,1.0,11.0,0.0,11.0,0,0,1,0,14.0,06001,06001,60001109066,601,8.0,-1.0
2021,060001109068,0609068,Sierra Primary,0600011,Fort Sage Unified,CA-1875036,1875036-6096341,PO Box 35,Herlong,CA,96113,100 DS Hall St.,Herlong,CA,96113,(530)827-2126,6,40.141423,-120.135161,-2,45000,43,6035,1,1,1,0.0,6.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,5.0,34.0,3.0,37.0,1,0,0,0,62.0,06001,06001,60001109068,601,29.0,-1.0
2021,060001112763,0612763,Mt. Lassen Charter,0600011,Fort Sage Unified,CA-1875036,1875036-0121657,PO Box 35,Herlong,CA,96113,100 David S Hall St.,Herlong,CA,96113,(530)827-2129,6,40.4211,-120.650932,-2,45000,33,6035,4,1,1,0.0,12.0,,-1.0,-1.0,-1.0,1,-1.0,-1.0,-1.0,6.0,49.0,23.0,72.0,1,1,1,0,123.0,06001,06001,60001112763,601,36.0,-1.0
2021,060001206852,0606852,Washington Elementary,0600012,Twin Ridges Elementary,CA-2966415,2966415-6027205,16661 Old Mill Rd.,Nevada City,CA,95959,1 Sch St.,Washington,CA,95986,(530)265-2880,6,39.358171,-120.800003,472,46020,43,6057,1,1,1,0.0,8.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,1.0,,,,1,0,1,0,6.0,06001,06001,60001206852,601,,-1.0
2021,060001209206,0609206,Grizzly Hill,0600012,Twin Ridges Elementary,CA-2966415,2966415-6089403,16661 Old Mill Rd.,Nevada City,CA,95959,16661 Old Mill Rd.,Nevada City,CA,95959,(530)265-9052,6,39.373765,-120.995434,472,46020,42,6057,1,1,1,0.0,8.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,5.0,65.0,5.0,70.0,1,0,1,0,87.0,06001,06001,60001209206,601,59.0,-1.0
2021,060001213453,0613453,Twin Ridges Special Education Preschool,0600012,Twin Ridges Elementary,CA-2966415,2966415-0119883,16661 Old Mill Rd.,Nevada City,CA,95959,16661 Old Mill Rd.,Nevada City,CA,95959,(530)265-9052,6,39.373765,-120.995434,472,46020,42,6057,-1,1,1,,,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,,,,,0,1,0,1,,06001,06001,60001213453,601,,-1.0
2021,060001300805,0600805,Antelope Creek Elementary,0600013,Rocklin Unified,CA-3175085,3175085-6110647,6185 Springview Dr.,Rocklin,CA,95677,6185 Springview Dr.,Rocklin,CA,95677,(916)632-1095,6,38.7778,-121.2581,472,40900,21,6061,1,1,1,0.0,6.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,22.0,151.0,6.0,157.0,1,0,0,0,474.0,06006,06001,60001300805,604,130.0,-1.0
2021,060001302405,0602405,Rocklin High,0600013,Rocklin Unified,CA-3175085,3175085-3130150,5301 Victory Ln.,Rocklin,CA,95765,5301 Victory Ln.,Rocklin,CA,95765,(916)632-1600,6,38.8143,-121.2511,472,40900,21,6061,3,1,1,9.0,12.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,95.0,284.0,15.0,299.0,0,1,0,0,2210.0,06006,06001,60001302405,604,259.0,-1.0
2021,060001303571,0603571,Breen Elementary,0600013,Rocklin Unified,CA-3175085,3175085-6111975,2751 Breen Dr.,Rocklin,CA,95765,2751 Breen Dr.,Rocklin,CA,95765,(916)632-1155,6,38.8181,-121.2597,472,40900,21,6061,1,1,1,0.0,6.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,19.0,57.0,0.0,57.0,1,0,0,0,424.0,06006,06001,60001303571,604,54.0,-1.0
2021,060001306176,0606176,Victory High,0600013,Rocklin Unified,CA-3175085,3175085-3130200,3250 Victory Dr.,Rocklin,CA,95765,3250 Victory Dr.,Rocklin,CA,95765,(916)632-3195,6,38.815698,-121.254325,472,40900,21,6061,3,4,1,9.0,12.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,6.0,34.0,1.0,35.0,0,1,0,0,82.0,06006,06001,60001306176,604,32.0,-1.0
2021,060001308256,0608256,Twin Oaks Elementary,0600013,Rocklin Unified,CA-3175085,3175085-6115844,2835 Club Dr.,Rocklin,CA,95765,2835 Club Dr.,Rocklin,CA,95765,(916)624-4101,6,38.81,-121.2646,472,40900,21,6061,1,1,1,0.0,6.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,23.0,104.0,4.0,108.0,1,0,0,0,505.0,06006,06001,60001308256,604,92.0,-1.0
2021,060001308257,0608257,Granite Oaks Middle,0600013,Rocklin Unified,CA-3175085,3175085-6116057,2600 Wyckford Dr.,Rocklin,CA,95765,2600 Wyckford Dr.,Rocklin,CA,95765,(916)315-9009,6,38.8209,-121.2525,472,40900,21,6061,2,1,1,7.0,8.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,48.0,82.0,2.0,84.0,0,0,1,0,967.0,06006,06001,60001308257,604,75.0,-1.0
2021,060001308553,0608553,Spring View Middle,0600013,Rocklin Unified,CA-3175085,3175085-6100903,5040 Fifth St.,Rocklin,CA,95677,5040 Fifth St.,Rocklin,CA,95677,(916)624-3381,6,38.7953,-121.2409,472,40900,21,6061,2,1,1,7.0,8.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,41.0,159.0,9.0,168.0,0,0,1,0,792.0,06006,06001,60001308553,604,139.0,-1.0
2021,060001308763,0608763,Valley View Elementary,0600013,Rocklin Unified,CA-3175085,3175085-6118517,3000 Crest Dr.,Rocklin,CA,95765,3000 Crest Dr.,Rocklin,CA,95765,(916)435-4844,6,38.8146,-121.2408,472,40900,21,6061,1,1,1,0.0,6.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,26.0,49.0,3.0,52.0,1,0,0,0,627.0,06006,06001,60001308763,604,45.0,-1.0
2021,060001308764,0608764,Sierra Elementary,0600013,Rocklin Unified,CA-3175085,3175085-6118533,6811 Camborne Way,Rocklin,CA,95677,6811 Camborne Way,Rocklin,CA,95677,(916)788-7141,6,38.7723,-121.2172,472,40900,21,6061,1,1,1,0.0,6.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,19.0,55.0,4.0,59.0,1,0,0,0,478.0,06006,06001,60001308764,604,48.0,-1.0
2021,060001309069,0609069,Parker Whitney Elementary,0600013,Rocklin Unified,CA-3175085,3175085-6031207,5145 Topaz Ave.,Rocklin,CA,95677,5145 Topaz Ave.,Rocklin,CA,95677,(916)624-2491,6,38.7934,-121.2542,472,40900,21,6061,1,1,1,0.0,6.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,19.0,88.0,5.0,93.0,1,0,0,0,386.0,06006,06001,60001309069,604,72.0,-1.0
2021,060001309070,0609070,Rocklin Elementary,0600013,Rocklin Unified,CA-3175085,3175085-6031215,5025 Meyers St.,Rocklin,CA,95677,5025 Meyers St.,Rocklin,CA,95677,(916)624-3311,6,38.7915,-121.2284,472,40900,21,6061,1,1,1,0.0,6.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,25.0,164.0,9.0,173.0,1,0,0,0,579.0,06006,06001,60001309070,604,144.0,-1.0
2021,060001310270,0610270,Cobblestone Elementary,0600013,Rocklin Unified,CA-3175085,3175085-6109870,5740 Cobblestone Dr.,Rocklin,CA,95765,5740 Cobblestone Dr.,Rocklin,CA,95765,(916)632-0140,6,38.8021,-121.2648,472,40900,21,6061,1,1,1,0.0,6.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,19.0,93.0,3.0,96.0,1,0,0,0,412.0,06006,06001,60001310270,604,81.0,-1.0
2021,060001310575,0610575,Rock Creek Elementary,0600013,Rocklin Unified,CA-3175085,3175085-6119853,2140 Collet Quarry Dr.,Rocklin,CA,95765,2140 Collet Quarry Dr.,Rocklin,CA,95765,(916)788-4282,6,38.7983,-121.2798,472,40900,21,6061,1,1,1,0.0,6.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,20.0,84.0,5.0,89.0,1,0,0,0,456.0,06006,06001,60001310575,604,79.0,-1.0
2021,060001311009,0611009,Ruhkala Elementary,0600013,Rocklin Unified,CA-3175085,3175085-0108050,6530 Turnstone Way,Rocklin,CA,95765,6530 Turnstone Way,Rocklin,CA,95765,(916)632-6560,6,38.80289,-121.287302,472,40900,21,6061,1,1,1,0.0,6.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,13.0,44.0,2.0,46.0,1,0,0,0,313.0,06006,06001,60001311009,604,40.0,-1.0
2021,060001311010,0611010,Whitney High,0600013,Rocklin Unified,CA-3175085,3175085-0108084,701 Wildcat Blvd.,Rocklin,CA,95765,701 Wildcat Blvd.,Rocklin,CA,95765,(916)632-6500,6,38.8364,-121.2894,472,40900,21,6061,3,1,1,9.0,12.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,89.0,255.0,15.0,270.0,0,1,0,0,2040.0,06006,06001,60001311010,604,221.0,-1.0
2021,060001312558,0612558,Sunset Ranch Elementary,0600013,Rocklin Unified,CA-3175085,3175085-0121244,2500 Bridlewood Dr.,Rocklin,CA,95765,2500 Bridlewood Dr.,Rocklin,CA,95765,(916)624-2048,6,38.828479,-121.274654,472,40900,21,6061,1,1,1,0.0,6.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,28.0,51.0,6.0,57.0,1,0,0,0,636.0,06006,06001,60001312558,604,42.0,-1.0
2021,060001314465,0614465,Rocklin Alternative Education Center,0600013,Rocklin Unified,CA-3175085,3175085-3130218,3250 Victory Dr.,Rocklin,CA,95765,3250 Victory Dr.,Rocklin,CA,95765,(916)632-3195,6,38.815698,-121.254325,472,40900,21,6061,4,4,1,0.0,12.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,4.0,25.0,0.0,25.0,1,1,1,0,97.0,06006,06001,60001314465,604,22.0,-1.0
2021,060001314609,0614609,Quarry Trail Elementary,0600013,Rocklin Unified,CA-3175085,3175085-0141259,810 Lazy Trail Dr.,Rocklin,CA,95765,810 Lazy Trail Dr.,Rocklin,CA,95765,(916)630-3300,6,38.831403,-121.263384,472,40900,21,6061,-1,1,7,,,,,,,0,,,,,,,,0,1,0,1,,06006,06001,60001314609,604,,
2021,060001403904,0603904,Topaz Preparatory Academy,0600014,Hesperia Unified,CA-3675044,3675044-6111751,14110 Beech St.,Hesperia,CA,92345,14110 Beech St.,Hesperia,CA,92345,(760)244-4622,6,34.4332,-117.3541,348,40140,21,6071,1,1,1,0.0,6.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,28.0,440.0,30.0,470.0,1,0,0,0,696.0,06033,06021,60001403904,608,356.0,-1.0
2021,060001405093,0605093,Sultana High,0600014,Hesperia Unified,CA-3675044,3675044-3630746,17311 Sultana Ave.,Hesperia,CA,92345,17311 Sultana Ave.,Hesperia,CA,92345,(760)947-6777,6,34.4104,-117.2867,348,40140,21,6071,3,1,1,9.0,12.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,86.0,1129.0,49.0,1178.0,0,1,0,0,2078.0,06033,06021,60001405093,608,960.0,-1.0
2021,060001407287,0607287,Shadow Ridge,0600014,Hesperia Unified,CA-3675044,3675044-3630811,15776 Main St. Ste. 5,Hesperia,CA,92345,15776 Main St. Ste. 5,Hesperia,CA,92345,(760)949-8267,6,34.424788,-117.31918,348,40140,21,6071,4,4,1,0.0,12.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,21.0,448.0,12.0,460.0,1,1,1,0,673.0,06033,06021,60001407287,608,400.0,-1.0
2021,060001407295,0607295,Mesquite Trails Elementary,0600014,Hesperia Unified,CA-3675044,3675044-6114680,13884 Mesquite St.,Hesperia,CA,92344,13884 Mesquite St.,Hesperia,CA,92344,(760)949-3149,6,34.398323,-117.360843,348,40140,21,6071,1,1,1,0.0,6.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,33.0,405.0,42.0,447.0,1,0,0,0,840.0,06033,06021,60001407295,608,339.0,-1.0
2021,060001408296,0608296,Hesperia Community Day,0600014,Hesperia Unified,CA-3675044,3675044-3630944,16527 1/2 Lemon St.,Hesperia,CA,92345,16527 1/2 Lemon St.,Hesperia,CA,92345,(760)244-1771,6,34.443814,-117.301229,348,40140,21,6071,3,4,1,7.0,12.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,1.0,7.0,0.0,7.0,0,1,1,0,11.0,06033,06021,60001408296,608,7.0,-1.0
2021,060001409072,0609072,Hesperia High,0600014,Hesperia Unified,CA-3675044,3675044-3630407,9898 Maple Ave.,Hesperia,CA,92345,9898 Maple Ave.,Hesperia,CA,92345,(760)244-9898,6,34.4301,-117.3477,348,40140,21,6071,3,1,1,9.0,12.0,,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,96.0,1476.0,99.0,1575.0,0,1,0,0,2223.0,06033,06021,60001409072,608,1164.0,-1.0
