crdc_id,year,ncessch,leaid,fips,num_classes_algebra1,num_taught_certified_algebra1,num_classes_algebra2,num_taught_certified_algebra2,num_classes_advanced_math,num_taught_certified_adv_math,num_classes_calculus,num_taught_certified_calculus,num_classes_biology,num_taught_certified_biology,num_classes_chemistry,num_taught_certified_chemistry,num_classes_geometry,num_taught_certified_geometry,num_classes_physics,num_taught_certified_physics,ap_courses_indicator,num_courses_ap,students_select_ap_indicator,ap_courses_math_indicator,ap_courses_science_indicator,ap_courses_other_indicator,sch_dual_indicator,gifted_talented_indicator,sports_single_sex_indicator,sports_single_sex_m,sports_single_sex_f,teams_single_sex_m,teams_single_sex_f,participants_single_sex_sports_m,participants_single_sex_sports_f,classes_single_sex_indicator,participants_single_sex_sports,classes_single_sex_alg_geom_m,classes_single_sex_alg_geom_f,classes_single_sex_alg_geom,classes_single_sex_othermath_m,classes_single_sex_othermath_f,classes_single_sex_othermath,classes_single_sex_science_m,classes_single_sex_science_f,classes_single_sex_science,classes_single_sex_english_m,classes_single_sex_english_f,classes_single_sex_english,classes_single_sex_other_m,classes_single_sex_other_f,classes_single_sex_other
060000103278,2017,060000103278,0600001,6,5.000,5.000,2.000,2.000,2.000,2.000,2.000,2.000,5.000,4.000,3.000,3.000,5.000,5.000,1.000,1.000,1,8.000,1,1,0,1,0,0,1,4,4,6,6,72,71,0,143,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
060000107534,2017,060000107534,0600001,6,-3.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-3,-1.000,-3,-3,-3,-3,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
060000109444,2017,060000109444,0600001,6,-3.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-3,-1.000,-3,-3,-3,-3,-2,1,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
060000210346,2017,060000210346,0600002,6,0.000,-2.000,0.000,-2.000,0.000,-2.000,0.000,-2.000,0.000,-2.000,0.000,-2.000,0.000,-2.000,0.000,-2.000,0,-1.000,-3,-3,-3,-3,1,0,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
060000310347,2017,060000310347,0600003,6,12.000,1.000,2.000,0.000,0.000,-2.000,1.000,1.000,4.000,0.000,3.000,0.000,5.000,1.000,1.000,0.000,1,1.000,1,0,0,1,1,0,1,4,5,5,7,34,39,0,73,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
060000608773,2017,060000608773,0600006,6,-3.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-3,-1.000,-3,-3,-3,-3,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
060000608774,2017,060000608774,0600006,6,-3.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-3,-1.000,-3,-3,-3,-3,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
060000608775,2017,060000608775,0600006,6,-3.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-3,-1.000,-3,-3,-3,-3,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
060000608776,2017,060000608776,0600006,6,-3.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-3,-1.000,-3,-3,-3,-3,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
060000612911,2017,060000612911,0600006,6,-3.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-2.000,-3,-1.000,-3,-3,-3,-3,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
